Time(s),Motion_Catch_1KHz,channel_1,channel_3,channel_5,channel_7,ForcePlatform_0,ForcePlatform_1,ForcePlatform_2,ForcePlatform_3,ForcePlatform_4,ForcePlatform_5,
                   0,    3.27707754753258,                   0,                   0,                   0,                   0,    3.52512104479295,   0.905862554942036,    719.254868623976,    15.3476306642407,   -6.80533586801423,  -0.134173412929349,
               0.001,    3.27555162205878,                   0,                   0,                   0,                   0,,,,,,,
               0.002,    3.27555162205878,                   0,                   0,                   0,                   0,,,,,,,
               0.003,    3.27402569658498,                2459,                1901,                2134,                1982,,,,,,,
               0.004,    3.27280495620594,                2701,                1822,                2161,                1995,,,,,,,
               0.005,    3.27188940092166,                2586,                1852,                2172,                2037,,,,,,,
               0.006,    3.27097384563738,                2586,                1852,                2172,                2037,,,,,,,
               0.007,    3.27433088167974,                2150,                1995,                2132,                2090,,,,,,,
               0.008,    3.27402569658498,                1519,                2219,                2079,                2116,,,,,,,
         0.009000001,    3.27097384563738,                1519,                2219,                2079,                2116,,,,,,,
                0.01,    3.27036347544786,                1559,                2207,                2034,                2065,    3.75109034253608,    1.17762132142465,    719.617213645953,    15.3273026766059,   -6.59771545170193, -0.0766705216739138,
               0.011,     3.2731101413007,                2356,                1890,                2067,                1991,,,,,,,
               0.012,    3.27372051149022,                2793,                1766,                2122,                1966,,,,,,,
               0.013,    3.27555162205878,                2793,                1766,                2122,                1966,,,,,,,
               0.014,     3.2746360667745,                2653,                1838,                2154,                1995,,,,,,,
               0.015,    3.27860347300638,                2141,                2021,                2099,                2036,,,,,,,
               0.016,    3.27555162205878,                1635,                2238,                2053,                2066,,,,,,,
               0.017,    3.27402569658498,                1635,                2238,                2053,                2066,,,,,,,
               0.018,    3.27524643696402,                1440,                2334,                2049,                2077,,,,,,,
               0.019,    3.27860347300638,                1583,                2275,                2055,                2056,,,,,,,
                0.02,     3.2776879177221,                1583,                2275,                2055,                2056,    3.25395788750118,   0.679396916206527,       718.892523602,    15.3679586518755,   -6.55157758141031,  -0.134173412929349,
               0.021,    3.27555162205878,                1971,                2100,                2066,                2030,,,,,,,
               0.022,    3.27829828791162,                2610,                1844,                2114,                2008,,,,,,,
               0.023,    3.27555162205878,                2654,                1843,                2080,                2046,,,,,,,
               0.024,     3.2731101413007,                2654,                1843,                2080,                2046,,,,,,,
               0.025,     3.2731101413007,                1878,                2102,                2027,                2103,,,,,,,
               0.026,    3.27249977111118,                1480,                2250,                2013,                2103,,,,,,,
               0.027,    3.27494125186926,                1480,                2250,                2013,                2103,,,,,,,
               0.028,    3.27646717734306,                1620,                2186,                2057,                2070,,,,,,,
               0.029,    3.27066866054262,                2099,                1989,                2112,                2040,,,,,,,
                0.03,    3.27036347544786,                2571,                1832,                2162,                1991,    3.25395788750118,   0.588810660712323,       718.892523602,    15.5305825529535,   -6.35933645519522,  -0.105421967301631,
               0.031,    3.27372051149022,                2571,                1832,                2162,                1991,,,,,,,
               0.032,    3.27402569658498,                2764,                1791,                2153,                1966,,,,,,,
               0.033,    3.27402569658498,                2618,                1863,                2124,                1956,,,,,,,
               0.034,     3.2776879177221,                2188,                2021,                2074,                2027,,,,,,,
               0.035,    3.27646717734306,                2188,                2021,                2074,                2027,,,,,,,
               0.036,    3.27585680715354,                1519,                2234,                2041,                2097,,,,,,,
