Time(s),Motion_Catch_1KHz,channel_1,channel_3,channel_5,channel_7,F0,F1,F2,F3,F4,F5
0,3.270363475,0,0,0,0,5.242487708,3.261105198,722.3348013,42.48549416,-29.25140976,-0.517526021
0.001,3.269142735,0,0,0,0,,,,,,
0.002,3.274025697,0,0,0,0,,,,,,
0.003,3.273110141,1523,2199,2121,2068,,,,,,
0.004,3.273415326,1779,2100,2105,2050,,,,,,
0.005,3.273110141,2317,1934,2100,2030,,,,,,
0.006,3.275856807,2625,1850,2132,2008,,,,,,
0.007,3.275246437,2625,1850,2132,2008,,,,,,
0.008,3.275246437,2680,1887,2128,2001,,,,,,
0.009000001,3.277687918,2399,1993,2127,2036,,,,,,
0.01,3.277687918,2399,1993,2127,2036,5.106906129,3.079932687,721.0665937,42.70910202,-29.22834083,-0.603780358
0.011,3.276772362,1873,2128,2085,2052,,,,,,
0.012,3.275856807,1305,2300,2077,2090,,,,,,
0.013,3.275856807,1988,2054,2076,2037,,,,,,
0.014,3.273415326,1988,2054,2076,2037,,,,,,
0.015,3.270668661,2702,1828,2091,1999,,,,,,
0.016,3.274941252,2857,1762,2083,1978,,,,,,
0.017,3.273415326,2505,1932,2087,1989,,,,,,
0.018,3.274636067,2505,1932,2087,1989,,,,,,
0.019,3.272194586,1878,2130,2088,2035,,,,,,
0.02,3.26944792,1482,2233,2083,2078,5.287681567,3.261105198,719.9795587,42.79041397,-29.04378935,-0.575028913
0.021,3.270668661,1482,2233,2083,2078,,,,,,
0.022,3.272499771,1423,2201,2095,2065,,,,,,
0.023,3.273110141,1731,2045,2105,2061,,,,,,
0.024,3.274636067,2286,1874,2112,2031,,,,,,
0.025,3.278603473,2286,1874,2112,2031,,,,,,
0.026,3.276161992,2942,1723,2119,1979,,,,,,
0.027,3.274636067,2383,1980,2107,1995,,,,,,
0.028,3.274941252,2383,1980,2107,1995,,,,,,
0.029,3.277687918,1736,2154,2083,2029,,,,,,
0.03,3.277077548,1548,2163,2092,2044,5.197293848,3.034639559,718.7113511,43.05467781,-29.0360997,-0.68045088
0.031,3.275246437,1548,2163,2092,2044,,,,,,
0.032,3.275551622,1781,2061,2102,2047,,,,,,
0.033,3.273720511,1781,2061,2102,2047,,,,,,
0.034,3.275551622,2308,1892,2127,1991,,,,,,
0.035,3.274636067,2633,1843,2116,1977,,,,,,
0.036,3.273720511,2719,1897,2108,1956,,,,,,
0.037,3.274330882,2719,1897,2108,1956,,,,,,
0.038,3.272499771,2409,2038,2082,1971,,,,,,
0.039,3.272804956,1891,2220,2087,2023,,,,,,
0.04,3.273110141,1891,2220,2087,2023,5.513650865,2.944053304,718.3490061,43.21730171,-28.85154822,-0.68045088
0.041,3.27005829,1338,2349,2066,2075,,,,,,
0.042,3.271279031,2030,2092,2078,2033,,,,,,
0.043,3.274025697,2676,1885,2090,1987,,,,,,
0.044,3.276161992,2676,1885,2090,1987,,,,,,
0.045,3.274025697,2821,1880,2127,1982,,,,,,
0.046,3.274636067,2467,1995,2123,2013,,,,,,
0.047,3.274025697,2467,1995,2123,2013,,,,,,
0.048,3.274330882,1861,2168,2119,2034,,,,,,
0.049,3.278603473,1472,2244,2102,2053,,,,,,
0.05,3.277687918,1491,2206,2099,2063,5.061712269,2.627001409,716.537281,43.29861366,-28.69775532,-0.690034695
0.051,3.277077548,1491,2206,2099,2063,,,,,,
0.052,3.277687918,1902,2008,2123,2031,,,,,,
0.053,3.275551622,2451,1833,2142,2007,,,,,,
0.054,3.275551622,3026,1727,2129,1971,,,,,,
0.055,3.270973846,3026,1727,2129,1971,,,,,,
0.056,3.272499771,2390,2006,2124,2025,,,,,,
0.057,3.272499771,1665,2235,2086,2056,,,,,,
0.058,3.276161992,1665,2235,2086,2056,,,,,,
0.059,3.271279031,1420,2268,2090,2088,,,,,,
0.06,3.270973846,1642,2140,2094,2073,4.835742972,2.581708282,716.1749359,43.48156555,-28.6593071,-0.690034695
0.061,3.272194586,2185,1935,2117,2037,,,,,,
0.062,3.272499771,2185,1935,2117,2037,,,,,,
