Time(s),Motion_Catch_1KHz,ch1_N,ch3_N,ch5_N,ch7_N,F0,F1,F2,F3,F4,F5
0,3.276161992,0,0,0,0,-0.542326315,2.174070132,724.690044,13.82303159,-11.68826047,0.201260119
0.001,3.275856807,0,0,0,0,,,,,,
0.002,3.274330882,0,0,0,0,,,,,,
0.003,3.276772362,2614,1858,2143,1972,,,,,,
0.004,3.277687918,2206,1998,2103,2029,,,,,,
0.005,3.277077548,1811,2111,2088,2064,,,,,,
0.006,3.276772362,1811,2111,2088,2064,,,,,,
0.007,3.271584216,1762,2097,2106,2077,,,,,,
0.008,3.273415326,1952,2058,2107,2033,,,,,,
0.009000001,3.277382733,1952,2058,2107,2033,,,,,,
0.01,3.277382733,2261,1961,2122,2014,-0.135581579,1.81172511,723.0594914,13.82303159,-11.36529538,0.095838152
0.011,3.274330882,2418,1913,2128,1985,,,,,,
0.012,3.272804956,2440,1933,2117,2006,,,,,,
0.013,3.271889401,2440,1933,2117,2006,,,,,,
0.014,3.270668661,2246,1991,2099,2017,,,,,,
0.015,3.270363475,1934,2089,2081,2069,,,,,,
0.016,3.272194586,1645,2164,2095,2075,,,,,,
0.017,3.270973846,1645,2164,2095,2075,,,,,,
0.018,3.274636067,2098,2019,2118,2009,,,,,,
0.019,3.276467177,2465,1895,2134,1972,,,,,,
0.02,3.275551622,2465,1895,2134,1972,0.090387719,1.857018238,722.3348013,13.78237562,-11.1807439,0.028751446
0.021,3.275856807,2489,1888,2119,1982,,,,,,
0.022,3.273110141,2287,1955,2104,2010,,,,,,
0.023,3.277993103,1930,2094,2075,2050,,,,,,
0.024,3.278908658,1930,2094,2075,2050,,,,,,
0.025,3.277993103,1720,2152,2066,2077,,,,,,
0.026,3.277077548,1712,2157,2086,2061,,,,,,
0.027,3.276467177,1712,2157,2086,2061,,,,,,
0.028,3.274025697,1936,2075,2109,2028,,,,,,
0.029,3.273415326,2284,1973,2117,2007,,,,,,
0.03,3.271279031,2606,1875,2121,1981,0.180775438,2.083483876,721.0665937,13.70106367,-11.00388206,0.009583815
0.031,3.274025697,2606,1875,2121,1981,,,,,,
0.032,3.275856807,2164,2001,2088,2051,,,,,,
0.033,3.271279031,1822,2138,2067,2092,,,,,,
0.034,3.271889401,1822,2138,2067,2092,,,,,,
0.035,3.272194586,1789,2129,2086,2067,,,,,,
0.036,3.271889401,1990,2049,2108,2055,,,,,,
0.037,3.273110141,2319,1979,2120,2023,,,,,,
0.038,3.274025697,2319,1979,2120,2023,,,,,,
0.039,3.277077548,2488,1917,2114,2000,,,,,,
0.04,3.275551622,2493,1917,2125,2003,0.497132455,2.672294537,719.9795587,13.72139165,-10.788572,-0.057502891
0.041,3.273415326,2493,1917,2125,2003,,,,,,
0.042,3.275246437,2258,1995,2109,2019,,,,,,
0.043,3.276161992,1910,2100,2083,2058,,,,,,
0.044,3.275856807,1633,2186,2067,2069,,,,,,
0.045,3.278908658,1633,2186,2067,2069,,,,,,
0.046,3.277382733,2134,2038,2123,1988,,,,,,
0.047,3.274330882,2486,1919,2133,1959,,,,,,
0.048,3.272804956,2527,1901,2113,1959,,,,,,
0.049,3.273415326,2527,1901,2113,1959,,,,,,
0.05,3.276467177,2281,1963,2104,2010,0.542326315,3.079932687,719.2548686,13.70106367,-10.58095159,-0.028751446
0.051,3.275856807,1933,2089,2075,2045,,,,,,
0.052,3.271279031,1933,2089,2075,2045,,,,,,
0.053,3.270973846,1723,2132,2071,2074,,,,,,
0.054,3.270973846,1711,2138,2089,2061,,,,,,
0.055,3.272194586,1919,2059,2108,2018,,,,,,
0.056,3.271279031,1919,2059,2108,2018,,,,,,
0.057,3.274941252,2276,1939,2138,1985,,,,,,
0.058,3.277077548,2614,1853,2135,1969,,,,,,
0.059,3.274330882,2614,1853,2135,1969,,,,,,
0.06,3.274330882,2186,1988,2109,2047,0.406744736,3.714036475,718.3490061,13.72139165,-10.35795188,-0.067086706
0.061,3.274941252,1839,2113,2088,2065,,,,,,
0.062,3.275246437,1777,2114,2096,2073,,,,,,
0.063,3.279824213,1777,2114,2096,2073,,,,,,
0.064,3.277687918,1978,2079,2122,2045,,,,,,
0.06500001,3.275856807,2273,1978,2141,2014,,,,,,
0.066,3.275551622,2273,1978,2141,2014,,,,,,
0.067,3.274025697,2459,1939,2135,1991,,,,,,
0.068,3.274330882,2476,1929,2125,1984,,,,,,
0.06900001,3.271279031,2282,1993,2103,2024,,,,,,
0.07,3.271889401,2282,1993,2103,2024,0.271163157,4.076381497,717.986661,13.82303159,-10.23491756,-0.076670522
0.071,3.274636067,1940,2103,2089,2055,,,,,,
0.072,3.272804956,1679,2196,2088,2068,,,,,,
0.07300001,3.270668661,1679,2196,2088,2068,,,,,,
0.074,3.271279031,2138,2040,2113,2013,,,,,,
0.075,3.272194586,2482,1909,2139,1961,,,,,,
0.07600001,3.273110141,2507,1919,2132,1985,,,,,,
0.07700001,3.274941252,2507,1919,2132,1985,,,,,,
0.078,3.276161992,2285,1973,2115,2019,,,,,,
0.079,3.276161992,1913,2087,2105,2058,,,,,,
0.08000001,3.274636067,1712,2143,2087,2065,-0.135581579,4.393433391,718.8925236,13.98565549,-9.996538563,-0.038335261
0.081,3.276467177,1712,2143,2087,2065,,,,,,
0.082,3.274025697,1730,2119,2106,2050,,,,,,
0.083,3.276772362,2007,2039,2121,2020,,,,,,
0.08400001,3.278908658,2007,2039,2121,2020,,,,,,
0.085,3.278603473,2353,1946,2136,1989,,,,,,
0.086,3.276467177,2658,1842,2133,1963,,,,,,
0.087,3.274636067,2225,1997,2095,2044,,,,,,
0.08800001,3.275246437,2225,1997,2095,2044,,,,,,
0.089,3.274330882,1825,2119,2076,2071,,,,,,
0.09,3.277382733,1748,2128,2085,2078,-0.361550876,4.61989903,719.2548686,13.92467153,-9.881193887,-0.067086706
0.09100001,3.274636067,1748,2128,2085,2078,,,,,,
0.09200001,3.272804956,1896,2092,2110,2040,,,,,,
0.093,3.272804956,2270,1984,2119,2015,,,,,,
0.094,3.269753105,2455,1933,2126,2004,,,,,,
0.09500001,3.271279031,2455,1933,2126,2004,,,,,,
0.096,3.273415326,2480,1929,2121,1987,,,,,,
0.097,3.274025697,2273,1993,2111,2030,,,,,,
0.098,3.273720511,2273,1993,2111,2030,,,,,,
0.09900001,3.277382733,1931,2113,2064,2070,,,,,,
0.1,3.272804956,1661,2182,2067,2091,-0.813489472,4.574605902,720.3419037,13.96532751,-9.781228502,-0.095838152
0.101,3.275551622,2120,2023,2127,2005,,,,,,
0.102,3.273415326,2120,2023,2127,2005,,,,,,
0.103,3.277077548,2491,1907,2138,1976,,,,,,
0.104,3.277687918,2503,1900,2126,1987,,,,,,
0.105,3.276772362,2280,1971,2102,2027,,,,,,
0.106,3.275856807,2280,1971,2102,2027,,,,,,
0.107,3.274330882,1932,2077,2095,2048,,,,,,
0.108,3.274941252,1737,2137,2085,2076,,,,,,
0.109,3.276467177,1737,2137,2085,2076,,,,,,
0.11,3.276467177,1753,2141,2091,2075,-0.677907893,4.529312775,719.2548686,13.94499952,-9.627435601,-0.076670522
0.111,3.273720511,1991,2061,2100,2021,,,,,,
0.112,3.272804956,2325,1966,2126,1995,,,,,,
0.113,3.271279031,2325,1966,2126,1995,,,,,,
0.114,3.271889401,2640,1869,2132,1956,,,,,,
0.115,3.270973846,2183,1992,2111,2041,,,,,,
0.116,3.271584216,2183,1992,2111,2041,,,,,,
0.117,3.275551622,1836,2098,2082,2068,,,,,,
0.118,3.274025697,1835,2113,2077,2042,,,,,,
0.119,3.276467177,2019,2067,2100,2019,,,,,,
0.12,3.277077548,2019,2067,2100,2019,-0.813489472,3.940502114,719.2548686,13.84335958,-9.512090925,-0.124589598
0.121,3.274330882,2349,1970,2127,2008,,,,,,
0.122,3.275246437,2526,1920,2125,1993,,,,,,
0.123,3.277687918,2526,1920,2125,1993,,,,,,
0.124,3.277993103,2538,1926,2111,2011,,,,,,
0.125,3.279519028,2300,1997,2092,2016,,,,,,
0.126,3.276772362,1934,2081,2067,2065,,,,,,
0.127,3.277077548,1934,2081,2067,2065,,,,,,
0.128,3.272499771,1641,2183,2077,2082,,,,,,
0.129,3.275551622,2123,2039,2125,2022,,,,,,
0.13,3.272499771,2123,2039,2125,2022,-1.084652629,3.578157092,718.8925236,13.72139165,-9.335229089,-0.153341043
0.131,3.273720511,2495,1933,2131,1978,,,,,,
0.132,3.274330882,2501,1907,2126,1991,,,,,,
0.133,3.270973846,2302,1968,2097,2031,,,,,,
0.134,3.270668661,2302,1968,2097,2031,,,,,,
0.135,3.271279031,1941,2085,2092,2056,,,,,,
0.136,3.272499771,1739,2134,2089,2074,,,,,,
0.137,3.271584216,1739,2134,2089,2074,,,,,,
0.138,3.274941252,1739,2134,2108,2049,,,,,,
0.139,3.274636067,1939,2070,2112,2038,,,,,,
0.14,3.275856807,2310,1963,2131,1996,-1.265428067,3.351691453,718.8925236,13.53843976,-9.158367253,-0.143757228
0.141,3.276161992,2310,1963,2131,1996,,,,,,
0.142,3.277077548,2639,1857,2157,1980,,,,,,
0.143,3.274636067,2203,2007,2109,2039,,,,,,
0.144,3.277077548,1853,2125,2094,2070,,,,,,
0.145,3.277993103,1853,2125,2094,2070,,,,,,
0.146,3.278298288,1812,2143,2081,2058,,,,,,
0.147,3.274330882,2000,2069,2119,2033,,,,,,
0.148,3.270973846,2000,2069,2119,2033,,,,,,
0.149,3.274941252,2331,1975,2132,2009,,,,,,
0.15,3.271279031,2499,1917,2139,2011,-1.446203506,2.717587665,717.986661,13.43679983,-9.089160447,-0.210843935
0.151,3.272804956,2492,1888,2125,2011,,,,,,
0.152,3.275551622,2492,1888,2125,2011,,,,,,
0.153,3.270668661,2277,1979,2099,2039,,,,,,
0.154,3.271889401,1932,2090,2071,2079,,,,,,
0.155,3.275551622,1932,2090,2071,2079,,,,,,
0.156,3.272194586,1663,2163,2065,2090,,,,,,
0.157,3.270973846,2133,2022,2125,2016,,,,,,
0.158,3.273110141,2503,1905,2120,1997,,,,,,
0.159,3.277687918,2503,1905,2120,1997,,,,,,
0.16,3.276467177,2500,1916,2117,1999,-1.807754382,2.21936326,718.3490061,13.33515989,-8.966126127,-0.22042775
0.161,3.275551622,2284,1983,2101,2023,,,,,,
0.162,3.272499771,2284,1983,2101,2023,,,,,,
0.163,3.277382733,1950,2079,2091,2052,,,,,,
0.164,3.277687918,1736,2122,2094,2048,,,,,,
0.165,3.278298288,1759,2122,2101,2060,,,,,,
0.166,3.276161992,1759,2122,2101,2060,,,,,,
0.167,3.275246437,1964,2060,2117,2022,,,,,,
0.168,3.273110141,2325,1993,2130,1987,,,,,,
0.169,3.274636067,2325,1993,2130,1987,,,,,,
0.17,3.273415326,2636,1904,2123,1983,-1.98852982,1.494673216,717.986661,13.152208,-8.843091806,-0.258763011
0.171,3.271889401,2184,2055,2094,2039,,,,,,
0.172,3.274025697,1834,2162,2077,2077,,,,,,
0.173,3.26944792,1834,2162,2077,2077,,,,,,
0.174,3.269753105,1800,2179,2081,2058,,,,,,
0.175,3.270363475,1968,2080,2099,2026,,,,,,
0.176,3.272194586,2302,1971,2113,1984,,,,,,
0.177,3.274636067,2302,1971,2113,1984,,,,,,
0.178,3.274941252,2463,1926,2139,1997,,,,,,
0.179,3.278298288,2461,1929,2113,2001,,,,,,
0.18,3.273415326,2461,1929,2113,2001,-2.169305258,1.041741938,717.986661,12.92860014,-8.65085068,-0.268346826
0.181,3.276772362,2247,1989,2106,2047,,,,,,
0.182,3.273415326,1905,2090,2091,2078,,,,,,
0.183,3.278908658,1639,2178,2081,2079,,,,,,
0.184,3.277382733,1639,2178,2081,2079,,,,,,
0.185,3.276467177,2118,2024,2140,2022,,,,,,
0.186,3.277382733,2480,1907,2135,1997,,,,,,
0.187,3.274941252,2480,1907,2135,1997,,,,,,
