Time(s),Motion_Catch_1KHz,channel_1,channel_3,channel_5,channel_7,ForcePlatform_0,ForcePlatform_1,ForcePlatform_2,ForcePlatform_3,ForcePlatform_4,ForcePlatform_5,
                   0,    3.27280495620594,                   0,                   0,                   0,                   0,    4.24822279757099, -0.0905862554942036,    721.066593733861,    26.7109757520692,   -15.9175652506096,  -0.536693651717396,
               0.001,    3.27280495620594,                   0,                   0,                   0,                   0,,,,,,,
               0.002,    3.27433088167974,                2397,                2015,                2081,                2041,,,,,,,
               0.003,    3.27402569658498,                1742,                2248,                2097,                2025,,,,,,,
               0.004,    3.27249977111118,                1742,                2248,                2097,                2025,,,,,,,
               0.005,    3.27066866054262,                1375,                2326,                2121,                2014,,,,,,,
               0.006,    3.27280495620594,                1434,                2256,                2127,                1989,,,,,,,
               0.007,    3.27341532639546,                1912,                2071,                2125,                1995,,,,,,,
               0.008,    3.27433088167974,                1912,                2071,                2125,                1995,,,,,,,
         0.009000001,    3.27585680715354,                2633,                1834,                2107,                1969,,,,,,,
                0.01,    3.27280495620594,                3017,                1758,                2101,                2029,     4.1126412189251, -0.0452931277471018,    721.972456288803,    26.9549116036863,   -16.0175306362414,  -0.536693651717396,
               0.011,    3.27646717734306,                3017,                1758,                2101,                2029,,,,,,,
               0.012,    3.27677236243782,                2102,                2152,                2075,                2043,,,,,,,
               0.013,    3.27372051149022,                1493,                2342,                2081,                2041,,,,,,,
               0.014,    3.27555162205878,                1499,                2293,                2065,                2036,,,,,,,
               0.015,    3.27646717734306,                1499,                2293,                2065,                2036,,,,,,,
               0.016,    3.27738273262734,                1912,                2111,                2092,                2020,,,,,,,
               0.017,    3.27555162205878,                2509,                1875,                2087,                2018,,,,,,,
               0.018,     3.2746360667745,                2797,                1800,                2093,                2027,,,,,,,
               0.019,    3.27555162205878,                2797,                1800,                2093,                2027,,,,,,,
                0.02,    3.27433088167974,                2743,                1846,                2103,                2026,     4.1126412189251,  0.0452931277471018,    721.066593733861,    26.9752395913211,   -16.0713581515816,  -0.555861282135875,
               0.021,    3.27249977111118,                2257,                2005,                2096,                2039,,,,,,,
               0.022,    3.27585680715354,                2257,                2005,                2096,                2039,,,,,,,
               0.023,     3.2746360667745,                1560,                2242,                2104,                2040,,,,,,,
               0.024,     3.2731101413007,                1307,                2331,                2111,                2010,,,,,,,
               0.025,    3.27097384563738,                2313,                1904,                2149,                1953,,,,,,,
               0.026,    3.27036347544786,                2313,                1904,                2149,                1953,,,,,,,
               0.027,    3.27280495620594,                2912,                1715,                2167,                1976,,,,,,,
               0.028,    3.27097384563738,                2869,                1776,                2157,                2012,,,,,,,
               0.029,    3.27494125186926,                2869,                1776,                2157,                2012,,,,,,,
                0.03,    3.27555162205878,                2362,                2004,                2100,                2051,     4.4289982357655,   0.135879383241305,    721.066593733861,    27.1175355047644,   -16.2020821174079,  -0.527109836508157,
               0.031,     3.2761619922483,                1695,                2240,                2109,                2051,,,,,,,
               0.032,    3.27555162205878,                1353,                2319,                2126,                2039,,,,,,,
               0.033,    3.27433088167974,                1353,                2319,                2126,                2039,,,,,,,
               0.034,    3.27249977111118,                1443,                2209,                2120,                2026,,,,,,,
               0.035,    3.27890865810114,                1929,                2009,                2102,                2011,,,,,,,
               0.036,    3.27555162205878,                1929,                2009,                2102,                2011,,,,,,,
               0.037,    3.27524643696402,                2664,                1765,                2097,                2009,,,,,,,
               0.038,    3.27646717734306,                3048,                1689,                2080,                2024,,,,,,,
               0.039,    3.27433088167974,                2170,                2104,                2102,                2034,,,,,,,
                0.04,    3.27433088167974,                2170,                2104,                2102,                2034,    4.47419209531413,                   0,    720.704248711884,    27.3004873934772,   -16.2943578579911,  -0.565445097345114,
               0.041,    3.27341532639546,                1583,                2322,                2135,                2022,,,,,,,
               0.042,    3.27372051149022,                1569,                2257,                2140,                2001,,,,,,,
               0.043,    3.27372051149022,                1569,                2257,                2140,                2001,,,,,,,
               0.044,    3.27433088167974,                1937,                2089,                2153,                1997,,,,,,,
               0.045,    3.26975310525834,                2491,                1881,                2145,                1985,,,,,,,
               0.046,    3.27188940092166,                2491,                1881,                2145,                1985,,,,,,,
               0.047,    3.27280495620594,                2770,                1793,                2173,                2008,,,,,,,
               0.048,    3.27219458601642,                2687,                1828,                2131,                2059,,,,,,,
               0.049,    3.27341532639546,                2221,                2007,                2091,                2088,,,,,,,
                0.05,     3.2731101413007,                2221,                2007,                2091,                2088,    4.38380437621687,   0.317051894229713,    721.972456288803,    27.3411433687467,   -16.2866682129425,  -0.565445097345114,
               0.051,    3.27646717734306,                1548,                2269,                2059,                2074,,,,,,,
               0.052,     3.2761619922483,                1253,                2324,                2075,                2039,,,,,,,
               0.053,    3.27433088167974,                1253,                2324,                2075,                2039,,,,,,,
               0.054,    3.27341532639546,                2202,                1916,                2081,                2025,,,,,,,
               0.055,    3.27860347300638,                2831,                1720,                2067,                2044,,,,,,,
               0.056,    3.27738273262734,                2785,                1782,                2060,                2072,,,,,,,
               0.057,     3.2761619922483,                2785,                1782,                2060,                2072,,,,,,,
               0.058,     3.2761619922483,                2326,                2029,                2074,                2069,,,,,,,
               0.059,    3.27585680715354,                1694,                2266,                2084,                2069,,,,,,,
                0.06,    3.27249977111118,                1389,                2350,                2131,                2019,    4.29341665711962,   0.226465638735509,    721.972456288803,    27.5444232450942,   -16.4481507589632,  -0.527109836508157,
               0.061,     3.2731101413007,                1389,                2350,                2131,                2019,,,,,,,
               0.062,    3.27402569658498,                1462,                2251,                2152,                2005,,,,,,,
               0.063,     3.2746360667745,                1948,                2039,                2156,                2008,,,,,,,
               0.064,    3.27433088167974,                1948,                2039,                2156,                2008,,,,,,,
          0.06500001,     3.2700582903531,                2627,                1775,                2128,                1991,,,,,,,
               0.066,    3.27219458601642,                3052,                1649,                2082,                2004,,,,,,,
               0.067,    3.27188940092166,                2141,                2044,                2067,                2040,,,,,,,
               0.068,    3.27249977111118,                2141,                2044,                2067,                2040,,,,,,,
          0.06900001,    3.27372051149022,                1514,                2256,                2110,                2063,,,,,,,
                0.07,    3.27524643696402,                1476,                2214,                2130,                2046,    4.51938595486275,    0.49822440521812,    720.704248711884,    27.5444232450942,   -16.4942886292548,  -0.594196542972832,
               0.071,     3.2746360667745,                1476,                2214,                2130,                2046,,,,,,,
               0.072,    3.27707754753258,                1890,                2063,                2135,                2001,,,,,,,
          0.07300001,    3.27494125186926,                2484,                1869,                2114,                1993,,,,,,,
               0.074,    3.27433088167974,                2771,                1805,                2119,                2027,,,,,,,
               0.075,    3.28043458357494,                2771,                1805,                2119,                2027,,,,,,,
          0.07600001,    3.27799310281686,                2673,                1867,                2098,                2063,,,,,,,
          0.07700001,    3.27585680715354,                2223,                2046,                2086,                2073,,,,,,,
               0.078,    3.27524643696402,                2223,                2046,                2086,                2073,,,,,,,
               0.079,     3.2761619922483,                1517,                2258,                2088,                2090,,,,,,,
          0.08000001,    3.27402569658498,                1215,                2324,                2103,                2045,    4.79054911215452,   0.769983171700731,    720.704248711884,    27.5850792203637,   -16.4865989842062,  -0.546277466926636,
