Time(s),Motion_Catch_1KHz,ch1_N,ch3_N,ch5_N,ch7_N,F0_N,F1_N,F2_N,F3_N,F4_N,F5_N
0,3.273720511,0,0,0,0,3.97705964,0.090586255,724.5088714,3.252478022,-5.252027568,0.057502891
0.001,3.273720511,0,0,0,0,,,,,,
0.002,3.275856807,0,0,0,0,,,,,,
0.003,3.273415326,2454,1959,2124,2013,,,,,,
0.004,3.274025697,1786,2187,2075,2036,,,,,,
0.005,3.275246437,1555,2263,2046,2038,,,,,,
0.006,3.26944792,1780,2188,2061,2033,,,,,,
0.007,3.272194586,1780,2188,2061,2033,,,,,,
0.008,3.271889401,2258,2022,2069,2031,,,,,,
0.009000001,3.273415326,2570,1913,2126,2001,,,,,,
0.01,3.273110141,2570,1913,2126,2001,3.841478062,0.181172511,725.414734,3.313461984,-5.113613957,0.047919076
0.011,3.274025697,2675,1894,2134,2014,,,,,,
0.012,3.275246437,2413,1945,2148,2029,,,,,,
0.013,3.276467177,2413,1945,2148,2029,,,,,,
0.014,3.273415326,1960,2057,2141,2052,,,,,,
0.015,3.274636067,1420,2234,2050,2071,,,,,,
0.016,3.277077548,1948,2043,2056,2042,,,,,,
0.017,3.278603473,1948,2043,2056,2042,,,,,,
0.018,3.276161992,2588,1795,2143,2011,,,,,,
0.019,3.275856807,2774,1760,2161,2012,,,,,,
0.02,3.275551622,2774,1760,2161,2012,3.841478062,0.090586255,725.777079,3.415101923,-5.152062183,0.047919076
0.021,3.274025697,2507,1909,2141,2022,,,,,,
0.022,3.274636067,1983,2126,2102,2040,,,,,,
0.023,3.274330882,1583,2220,2067,2050,,,,,,
0.024,3.272499771,1583,2220,2067,2050,,,,,,
0.025,3.271584216,1488,2192,2056,2043,,,,,,
0.026,3.271584216,1789,2096,2067,2019,,,,,,
0.027,3.272194586,1789,2096,2067,2019,,,,,,
0.028,3.271889401,2253,1954,2101,2009,,,,,,
0.029,3.273415326,2874,1791,2156,1993,,,,,,
0.03,3.274636067,2420,1986,2129,2004,3.253957888,0.181172511,725.414734,3.43542991,-5.105924312,0.095838152
0.031,3.274330882,2420,1986,2129,2004,,,,,,
0.032,3.275856807,1792,2197,2096,2045,,,,,,
0.033,3.273415326,1587,2245,2075,2039,,,,,,
0.034,3.275246437,1788,2140,2069,2028,,,,,,
0.035,3.273415326,1788,2140,2069,2028,,,,,,
0.036,3.278298288,2249,1924,2110,2024,,,,,,
0.037,3.277687918,2577,1863,2119,2013,,,,,,
0.038,3.274025697,2577,1863,2119,2013,,,,,,
0.039,3.274330882,2669,1889,2133,2003,,,,,,
0.04,3.275551622,2380,2011,2120,2022,3.525121045,0.181172511,724.690044,3.374445947,-4.990579637,0.134173413
0.041,3.271584216,1927,2139,2092,2034,,,,,,
0.042,3.274636067,1927,2139,2092,2034,,,,,,
0.043,3.273415326,1333,2270,2066,2077,,,,,,
0.044,3.273720511,1861,2023,2123,2073,,,,,,
0.045,3.276161992,1861,2023,2123,2073,,,,,,
0.046,3.271889401,2512,1825,2167,2043,,,,,,
0.047,3.26944792,2727,1830,2164,2026,,,,,,
0.048,3.272194586,2492,1985,2143,2026,,,,,,
0.049,3.271279031,2492,1985,2143,2026,,,,,,
0.05,3.274941252,1963,2163,2093,2035,3.299151747,0.181172511,725.052389,3.293133997,-4.967510701,0.105421967
0.051,3.273720511,1581,2245,2057,2042,,,,,,
0.052,3.277077548,1581,2245,2057,2042,,,,,,
0.053,3.276467177,1540,2162,2058,2031,,,,,,
0.054,3.276467177,1923,1968,2078,2008,,,,,,
0.055,3.274941252,2415,1862,2086,1997,,,,,,
0.056,3.279519028,2415,1862,2086,1997,,,,,,
0.057,3.277993103,2998,1766,2134,1974,,,,,,
0.058,3.277382733,2465,1997,2137,2002,,,,,,
0.059,3.274330882,1798,2183,2109,2050,,,,,,
0.06,3.272499771,1798,2183,2109,2050,3.389539466,0.226465639,724.690044,3.374445947,-4.844476381,0.162924859
0.061,3.274025697,1503,2194,2091,2076,,,,,,
0.062,3.277993103,1658,2078,2100,2065,,,,,,
0.063,3.271279031,1658,2078,2100,2065,,,,,,
0.064,3.274330882,2128,1924,2130,2043,,,,,,
0.06500001,3.274941252,2489,1857,2159,2029,,,,,,
0.066,3.270668661,2489,1857,2159,2029,,,,,,
0.067,3.270363475,2637,1865,2178,2029,,,,,,
0.068,3.272194586,2374,2003,2153,2060,,,,,,
0.06900001,3.27005829,1944,2172,2085,2053,,,,,,
0.07,3.276467177,1944,2172,2085,2053,3.525121045,0,723.7841814,3.130510096,-4.8137178,0.191676304
0.071,3.276772362,1400,2312,2036,2079,,,,,,
0.072,3.277077548,1931,2035,2079,2027,,,,,,
0.07300001,3.276161992,1931,2035,2079,2027,,,,,,
0.074,3.275246437,2575,1833,2099,2001,,,,,,
0.075,3.274636067,2739,1868,2119,1996,,,,,,
0.07600001,3.276772362,2464,2011,2112,2015,,,,,,
0.07700001,3.278603473,2464,2011,2112,2015,,,,,,
0.078,3.278298288,1940,2173,2069,2030,,,,,,
0.079,3.277993103,1537,2231,2056,2043,,,,,,
0.08000001,3.273110141,1537,2231,2056,2043,3.570314904,0,723.4218364,3.313461984,-4.713752415,0.191676304
0.081,3.272804956,1467,2190,2069,2062,,,,,,
0.082,3.271584216,1733,2061,2111,2052,,,,,,
0.083,3.273415326,2213,1907,2133,2026,,,,,,
0.08400001,3.273720511,2213,1907,2133,2026,,,,,,
0.085,3.275246437,2853,1713,2157,2011,,,,,,
0.086,3.27005829,2437,1856,2148,2044,,,,,,
0.087,3.27005829,1835,2050,2120,2073,,,,,,
0.08800001,3.271279031,1835,2050,2120,2073,,,,,,
0.089,3.270668661,1611,2100,2089,2079,,,,,,
0.09,3.274636067,1854,2043,2070,2059,3.796284202,0,723.0594914,2.988214182,-4.652235254,0.22042775
0.09100001,3.273415326,1854,2043,2070,2059,,,,,,
0.09200001,3.277382733,2327,1941,2100,2021,,,,,,
0.093,3.276467177,2646,1928,2122,2024,,,,,,
0.094,3.274636067,2720,1991,2119,2018,,,,,,
0.09500001,3.275856807,2720,1991,2119,2018,,,,,,
0.096,3.279213843,2447,2073,2101,2013,,,,,,
0.097,3.277382733,2447,2073,2101,2013,,,,,,
0.098,3.277382733,1972,2129,2080,2038,,,,,,
0.09900001,3.277687918,1395,2247,2048,2042,,,,,,
0.1,3.273110141,1395,2247,2048,2042,3.796284202,0.181172511,722.3348013,3.028870158,-4.536890579,0.210843935
0.101,3.272804956,1929,1964,2082,2024,,,,,,
0.102,3.272804956,2544,1778,2131,1992,,,,,,
0.103,3.274636067,2544,1778,2131,1992,,,,,,
0.104,3.273110141,2738,1855,2133,1980,,,,,,
0.105,3.276467177,2492,2046,2121,1989,,,,,,
0.106,3.271584216,1923,2238,2081,2031,,,,,,
0.107,3.271584216,1923,2238,2081,2031,,,,,,
0.108,3.271889401,1566,2257,2093,2044,,,,,,
0.109,3.272194586,1461,2215,2071,2040,,,,,,
0.11,3.274941252,1741,2064,2086,2002,3.841478062,0.362345022,721.4289388,2.967886195,-4.444614838,0.316265902
0.111,3.272804956,1741,2064,2086,2002,,,,,,
0.112,3.276772362,2214,1932,2111,1993,,,,,,
0.113,3.276772362,2840,1763,2130,1965,,,,,,
0.114,3.275246437,2840,1763,2130,1965,,,,,,
0.115,3.273110141,2381,1973,2159,2009,,,,,,
0.116,3.277077548,1769,2144,2138,2057,,,,,,
0.117,3.276772362,1611,2121,2102,2065,,,,,,
0.118,3.276772362,1611,2121,2102,2065,,,,,,
0.119,3.276467177,1847,2015,2100,2064,,,,,,
0.12,3.273720511,2304,1913,2105,2044,3.751090343,0.769983172,721.4289388,2.845918269,-4.290821937,0.364184978
0.121,3.275551622,2304,1913,2105,2044,,,,,,
0.122,3.273720511,2617,1893,2112,2008,,,,,,
0.123,3.271889401,2697,1932,2151,2012,,,,,,
0.124,3.275551622,2430,2055,2130,2037,,,,,,
0.125,3.273720511,2430,2055,2130,2037,,,,,,
0.126,3.268532365,1963,2163,2101,2038,,,,,,
0.127,3.272194586,1399,2261,2057,2061,,,,,,
0.128,3.271889401,1963,2005,2094,2042,,,,,,
0.129,3.273720511,1963,2005,2094,2042,,,,,,
0.13,3.274636067,2586,1821,2153,2009,3.751090343,0.362345022,721.4289388,2.947558207,-4.206235842,0.354601163
0.131,3.276772362,2813,1838,2147,1991,,,,,,
0.132,3.276467177,2813,1838,2147,1991,,,,,,
0.133,3.274636067,2537,1959,2127,1996,,,,,,
0.134,3.275551622,1975,2098,2085,2018,,,,,,
0.135,3.274025697,1591,2164,2073,2048,,,,,,
0.136,3.277687918,1591,2164,2073,2048,,,,,,
0.137,3.276772362,1493,2148,2054,2052,,,,,,
0.138,3.276772362,1774,2055,2077,2025,,,,,,
0.139,3.274330882,1774,2055,2077,2025,,,,,,
0.14,3.273110141,2249,1931,2110,2019,3.525121045,0.679396916,720.3419037,2.723950343,-4.144718681,0.364184978
0.141,3.273415326,2874,1787,2144,2014,,,,,,
0.142,3.272194586,2415,1989,2154,2032,,,,,,
0.143,3.273415326,2415,1989,2154,2032,,,,,,
0.144,3.274941252,1822,2176,2081,2055,,,,,,
0.145,3.274330882,1595,2221,2052,2033,,,,,,
0.146,3.270973846,1595,2221,2052,2033,,,,,,
0.147,3.272499771,1816,2108,2065,2045,,,,,,
0.148,3.273720511,2297,1999,2086,2000,,,,,,
0.149,3.272499771,2627,1975,2101,1995,,,,,,
0.15,3.272194586,2627,1975,2101,1995,3.751090343,0.769983172,721.4289388,2.723950343,-3.9601672,0.345017348
0.151,3.274941252,2718,1999,2118,1996,,,,,,
0.152,3.276161992,2390,2089,2112,2015,,,,,,
0.153,3.276467177,2390,2089,2112,2015,,,,,,
0.154,3.275551622,1898,2169,2127,2054,,,,,,
0.155,3.273720511,1329,2264,2089,2085,,,,,,
0.156,3.277687918,1919,1980,2137,2054,,,,,,
0.157,3.276772362,1919,1980,2137,2054,,,,,,
0.158,3.277077548,2574,1765,2175,2010,,,,,,
0.159,3.275856807,2736,1820,2164,2004,,,,,,
0.16,3.274941252,2736,1820,2164,2004,3.525121045,0.362345022,721.4289388,2.601982417,-3.867891459,0.364184978
0.161,3.274025697,2463,1981,2133,2021,,,,,,
0.162,3.274636067,1904,2174,2092,2039,,,,,,
0.163,3.274941252,1522,2244,2059,2050,,,,,,
