Time(s),Motion_Catch_1KHz,ch1_W,ch3_W,ch5_W,ch7_W,F0_W,F1_W,F2_W,F3_W,F4_W,F5_W
0,3.273415326,0,0,0,0,8.360864016,-7.881004228,747.6989528,26.7922877,-34.7879542,-1.562161879
0.001,3.274025697,0,0,0,0,,,,,,
0.002,3.274941252,0,0,0,0,,,,,,
0.003,3.277993103,2041,2112,2113,2009,,,,,,
0.004,3.277687918,2064,2120,2118,2025,,,,,,
0.005,3.278298288,2117,2104,2097,2091,,,,,,
0.006,3.275856807,2236,2091,2081,2202,,,,,,
0.007,3.274025697,2236,2091,2081,2202,,,,,,
0.008,3.274636067,2122,2047,2184,2221,,,,,,
0.009000001,3.271584216,1955,2039,2218,2101,,,,,,
0.01,3.275856807,1955,2039,2218,2101,7.954119281,-10.82505753,750.960058,24.96276882,-34.22661011,-1.705919107
0.011,3.272499771,1893,2012,2193,2023,,,,,,
0.012,3.275246437,2012,1984,2125,1994,,,,,,
0.013,3.272194586,2142,2027,2079,2027,,,,,,
0.014,3.270363475,2142,2027,2079,2027,,,,,,
0.015,3.272499771,2251,2065,2060,2086,,,,,,
0.016,3.270973846,2304,2072,2009,2118,,,,,,
0.017,3.277382733,2304,2072,2009,2118,,,,,,
0.018,3.275551622,2238,2011,2047,2087,,,,,,
0.019,3.274941252,2084,1923,2075,2014,,,,,,
0.02,3.274941252,1942,1841,2132,1887,7.00504823,-12.99912766,755.1270258,23.49915371,-33.19619767,-1.801757259
0.021,3.274025697,1942,1841,2132,1887,,,,,,
0.022,3.274330882,2035,1925,2091,1848,,,,,,
0.023,3.277382733,2195,2018,2115,1980,,,,,,
0.024,3.276772362,2195,2018,2115,1980,,,,,,
0.025,3.278298288,2238,2068,2181,2072,,,,,,
0.026,3.277077548,2194,2033,2166,2086,,,,,,
0.027,3.277687918,2165,2001,2139,2004,,,,,,
0.028,3.274330882,2165,2001,2139,2004,,,,,,
0.029,3.274636067,2108,1979,2178,1959,,,,,,
0.03,3.273415326,2041,1953,2240,1950,6.01078332,-14.58438713,762.0115812,21.89324268,-32.4656814,-1.782589629
0.031,3.273720511,1993,1959,2266,2012,,,,,,
0.032,3.274941252,1993,1959,2266,2012,,,,,,
0.033,3.271584216,2068,2021,2211,2122,,,,,,
0.034,3.271889401,2220,2079,2166,2245,,,,,,
0.035,3.274025697,2220,2079,2166,2245,,,,,,
0.036,3.272804956,2202,2048,2143,2253,,,,,,
0.037,3.272804956,2086,2021,2081,2092,,,,,,
0.038,3.274330882,2108,1907,2006,1907,,,,,,
0.039,3.276161992,2108,1907,2006,1907,,,,,,
