Time(s),Motion_Catch_1KHz,channel_1,channel_3,channel_5,channel_7,ForcePlatform_0,ForcePlatform_1,ForcePlatform_2,ForcePlatform_3,ForcePlatform_4,ForcePlatform_5,
                   0,    3.27433088167974,                   0,                   0,                   0,                   0,    12.2475359376781,     2.5817082815848,    741.901432497527,    48.6042184347013,   -34.1727825959946,   -2.05093645477719,
               0.001,    3.27494125186926,                   0,                   0,                   0,                   0,,,,,,,
               0.002,    3.27341532639546,                   0,                   0,                   0,                   0,,,,,,,
               0.003,    3.27433088167974,                2197,                2110,                2056,                2114,,,,,,,
               0.004,    3.27402569658498,                2197,                2110,                2056,                2114,,,,,,,
               0.005,    3.27219458601642,                2250,                2174,                2096,                2254,,,,,,,
               0.006,    3.27249977111118,                2220,                2167,                2107,                2208,,,,,,,
               0.007,     3.2715842158269,                2113,                2111,                2102,                2075,,,,,,,
               0.008,    3.27341532639546,                2113,                2111,                2102,                2075,,,,,,,
         0.009000001,    3.27555162205878,                2060,                2053,                2144,                1965,,,,,,,
                0.01,     3.2746360667745,                2002,                2045,                2182,                1904,    11.7955973421918,    1.35879383241305,    743.169640074446,    48.7465143481446,   -34.5649544934734,   -2.01260119394024,
               0.011,    3.27494125186926,                2056,                2126,                2142,                1954,,,,,,,
               0.012,    3.27494125186926,                2056,                2126,                2142,                1954,,,,,,,
               0.013,    3.27646717734306,                2166,                2163,                2124,                2100,,,,,,,
               0.014,     3.2746360667745,                2268,                2190,                2112,                2289,,,,,,,
               0.015,    3.27677236243782,                2268,                2190,                2112,                2289,,,,,,,
               0.016,    3.27890865810114,                2103,                2074,                2132,                2148,,,,,,,
               0.017,    3.27799310281686,                1986,                1943,                2128,                1911,,,,,,,
               0.018,    3.27860347300638,                1944,                1843,                2134,                1836,,,,,,,
               0.019,     3.2746360667745,                1944,                1843,                2134,                1836,,,,,,,
                0.02,    3.27585680715354,                1987,                1889,                2113,                1884,    11.6148219039973,   0.815276299447832,    743.531985096423,    48.9497942244922,   -34.8725402954176,   -1.96468211789404,
               0.021,    3.27372051149022,                2137,                2021,                2131,                2045,,,,,,,
               0.022,    3.27555162205878,                2137,                2021,                2131,                2045,,,,,,,
               0.023,    3.27524643696402,                2206,                2053,                2197,                2174,,,,,,,
               0.024,    3.27524643696402,                2195,                1960,                2169,                2206,,,,,,,
               0.025,    3.27280495620594,                2171,                1881,                2146,                2124,,,,,,,
               0.026,    3.26975310525834,                2171,                1881,                2146,                2124,,,,,,,
               0.027,    3.27188940092166,                2099,                1818,                2096,                1959,,,,,,,
               0.028,    3.27219458601642,                1968,                1747,                2073,                1777,,,,,,,
               0.029,    3.27585680715354,                1968,                1747,                2073,                1777,,,,,,,
                0.03,    3.27524643696402,                2066,                1893,                2059,                1904,       11.5244341849,   0.181172510988407,    746.249572761249,    49.3360259895526,   -35.0724710666812,   -1.83050870496469,
               0.031,    3.27677236243782,                2233,                2055,                2075,                2104,,,,,,,
               0.032,    3.27372051149022,                2233,                2055,                2075,                2104,,,,,,,
               0.033,     3.2746360667745,                2254,                2202,                2089,                2197,,,,,,,
               0.034,    3.27341532639546,                2178,                2270,                2055,                2165,,,,,,,
               0.035,    3.27646717734306,                2091,                2161,                2021,                2017,,,,,,,
               0.036,    3.27646717734306,                2091,                2161,                2021,                2017,,,,,,,
               0.037,     3.2746360667745,                2087,                2018,                2050,                1926,,,,,,,
               0.038,     3.2761619922483,                2051,                1966,                2056,                1887,,,,,,,
               0.039,    3.27372051149022,                2051,                1966,                2056,                1887,,,,,,,
                0.04,     3.2746360667745,                2015,                2008,                2079,                1939,    11.5696280444486,   -0.49822440521812,    748.242470382122,    49.4376659277263,   -35.2954707730907,   -1.76342199850002,
               0.041,    3.27433088167974,                2140,                2130,                2054,                2092,,,,,,,
